DateID,Year,Month,Dayweek,Day of week,WeekdayNum
Date2023112,2023,11,Tuesday,Weekday,2
Date2023113,2023,11,Wednesday,Weekday,3
Date2023105,2023,10,Friday,Weekday,5
Date2023105,2023,10,Friday,Weekend,5
Date2023101,2023,10,Monday,Weekend,1
Date2023101,2023,10,Monday,Weekday,1
Date2023106,2023,10,Saturday,Weekend,6
Date2023107,2023,10,Sunday,Weekend,7
Date2023104,2023,10,Thursday,Weekday,4
Date2023102,2023,10,Tuesday,Weekday,2
Date2023103,2023,10,Wednesday,Weekday,3
Date2023095,2023,9,Friday,Weekday,5
Date2023095,2023,9,Friday,Weekend,5
Date2023091,2023,9,Monday,Weekend,1
Date2023091,2023,9,Monday,Weekday,1
Date2023096,2023,9,Saturday,Weekend,6
Date2023097,2023,9,Sunday,Weekend,7
Date2023094,2023,9,Thursday,Weekday,4
Date2023092,2023,9,Tuesday,Weekday,2
Date2023093,2023,9,Wednesday,Weekday,3
Date2023085,2023,8,Friday,Weekday,5
Date2023085,2023,8,Friday,Weekend,5
Date2023081,2023,8,Monday,Weekend,1
Date2023081,2023,8,Monday,Weekday,1
Date2023086,2023,8,Saturday,Weekend,6
Date2023087,2023,8,Sunday,Weekend,7
Date2023084,2023,8,Thursday,Weekday,4
Date2023082,2023,8,Tuesday,Weekday,2
Date2023083,2023,8,Wednesday,Weekday,3
Date2023075,2023,7,Friday,Weekday,5
Date2023075,2023,7,Friday,Weekend,5
Date2023071,2023,7,Monday,Weekend,1
Date2023071,2023,7,Monday,Weekday,1
Date2023076,2023,7,Saturday,Weekend,6
Date2023077,2023,7,Sunday,Weekend,7
Date2023074,2023,7,Thursday,Weekday,4
Date2023072,2023,7,Tuesday,Weekday,2
Date2023073,2023,7,Wednesday,Weekday,3
Date2023065,2023,6,Friday,Weekday,5
Date2023065,2023,6,Friday,Weekend,5
Date2023061,2023,6,Monday,Weekend,1
Date2023061,2023,6,Monday,Weekday,1
Date2023066,2023,6,Saturday,Weekend,6
Date2023067,2023,6,Sunday,Weekend,7
Date2023064,2023,6,Thursday,Weekday,4
Date2023062,2023,6,Tuesday,Weekday,2
Date2023063,2023,6,Wednesday,Weekday,3
Date2023055,2023,5,Friday,Weekday,5
Date2023055,2023,5,Friday,Weekend,5
Date2023051,2023,5,Monday,Weekend,1
Date2023051,2023,5,Monday,Weekday,1
Date2023056,2023,5,Saturday,Weekend,6
Date2023057,2023,5,Sunday,Weekend,7
Date2023054,2023,5,Thursday,Weekday,4
Date2023052,2023,5,Tuesday,Weekday,2
Date2023053,2023,5,Wednesday,Weekday,3
Date2023045,2023,4,Friday,Weekday,5
Date2023045,2023,4,Friday,Weekend,5
Date2023041,2023,4,Monday,Weekday,1
Date2023046,2023,4,Saturday,Weekend,6
Date2023047,2023,4,Sunday,Weekend,7
Date2023044,2023,4,Thursday,Weekday,4
Date2023042,2023,4,Tuesday,Weekday,2
Date2023043,2023,4,Wednesday,Weekday,3
Date2023035,2023,3,Friday,Weekday,5
Date2023035,2023,3,Friday,Weekend,5
Date2023031,2023,3,Monday,Weekend,1
Date2023031,2023,3,Monday,Weekday,1
Date2023036,2023,3,Saturday,Weekend,6
Date2023037,2023,3,Sunday,Weekend,7
Date2023034,2023,3,Thursday,Weekday,4
Date2023032,2023,3,Tuesday,Weekday,2
Date2023033,2023,3,Wednesday,Weekday,3
Date2023025,2023,2,Friday,Weekday,5
Date2023025,2023,2,Friday,Weekend,5
Date2023021,2023,2,Monday,Weekday,1
Date2023026,2023,2,Saturday,Weekend,6
Date2023027,2023,2,Sunday,Weekend,7
Date2023024,2023,2,Thursday,Weekday,4
Date2023022,2023,2,Tuesday,Weekday,2
Date2023023,2023,2,Wednesday,Weekday,3
Date2023015,2023,1,Friday,Weekday,5
Date2023015,2023,1,Friday,Weekend,5
Date2023011,2023,1,Monday,Weekend,1
Date2023011,2023,1,Monday,Weekday,1
Date2023016,2023,1,Saturday,Weekend,6
Date2023017,2023,1,Sunday,Weekend,7
Date2023014,2023,1,Thursday,Weekday,4
Date2023012,2023,1,Tuesday,Weekday,2
Date2023013,2023,1,Wednesday,Weekday,3
Date2022125,2022,12,Friday,Weekday,5
Date2022125,2022,12,Friday,Weekend,5
Date2022121,2022,12,Monday,Weekday,1
Date2022126,2022,12,Saturday,Weekend,6
Date2022127,2022,12,Sunday,Weekend,7
Date2022124,2022,12,Thursday,Weekday,4
Date2022122,2022,12,Tuesday,Weekday,2
Date2022123,2022,12,Wednesday,Weekday,3
Date2022115,2022,11,Friday,Weekday,5
Date2022115,2022,11,Friday,Weekend,5
Date2022111,2022,11,Monday,Weekday,1
Date2022116,2022,11,Saturday,Weekend,6
Date2022117,2022,11,Sunday,Weekend,7
Date2022114,2022,11,Thursday,Weekday,4
Date2022112,2022,11,Tuesday,Weekday,2
Date2022113,2022,11,Wednesday,Weekday,3
Date2022105,2022,10,Friday,Weekday,5
Date2022105,2022,10,Friday,Weekend,5
Date2022101,2022,10,Monday,Weekend,1
Date2022101,2022,10,Monday,Weekday,1
Date2022106,2022,10,Saturday,Weekend,6
Date2022107,2022,10,Sunday,Weekend,7
Date2022104,2022,10,Thursday,Weekday,4
Date2022102,2022,10,Tuesday,Weekday,2
Date2022103,2022,10,Wednesday,Weekday,3
Date2022095,2022,9,Friday,Weekday,5
Date2022095,2022,9,Friday,Weekend,5
Date2022091,2022,9,Monday,Weekend,1
Date2022091,2022,9,Monday,Weekday,1
Date2022096,2022,9,Saturday,Weekend,6
Date2022097,2022,9,Sunday,Weekend,7
Date2022094,2022,9,Thursday,Weekday,4
Date2022092,2022,9,Tuesday,Weekday,2
Date2022093,2022,9,Wednesday,Weekday,3
Date2022085,2022,8,Friday,Weekday,5
Date2022085,2022,8,Friday,Weekend,5
Date2022081,2022,8,Monday,Weekday,1
Date2022086,2022,8,Saturday,Weekend,6
Date2022087,2022,8,Sunday,Weekend,7
Date2022084,2022,8,Thursday,Weekday,4
Date2022082,2022,8,Tuesday,Weekday,2
Date2022083,2022,8,Wednesday,Weekday,3
Date2022075,2022,7,Friday,Weekday,5
Date2022075,2022,7,Friday,Weekend,5
Date2022071,2022,7,Monday,Weekend,1
Date2022071,2022,7,Monday,Weekday,1
Date2022076,2022,7,Saturday,Weekend,6
Date2022077,2022,7,Sunday,Weekend,7
Date2022074,2022,7,Thursday,Weekday,4
Date2022072,2022,7,Tuesday,Weekday,2
Date2022073,2022,7,Wednesday,Weekday,3
Date2022065,2022,6,Friday,Weekday,5
Date2022065,2022,6,Friday,Weekend,5
Date2022061,2022,6,Monday,Weekday,1
Date2022066,2022,6,Saturday,Weekend,6
Date2022067,2022,6,Sunday,Weekend,7
Date2022064,2022,6,Thursday,Weekday,4
Date2022062,2022,6,Tuesday,Weekday,2
Date2022063,2022,6,Wednesday,Weekday,3
Date2022055,2022,5,Friday,Weekday,5
Date2022055,2022,5,Friday,Weekend,5
Date2022051,2022,5,Monday,Weekend,1
Date2022051,2022,5,Monday,Weekday,1
Date2022056,2022,5,Saturday,Weekend,6
Date2022057,2022,5,Sunday,Weekend,7
Date2022054,2022,5,Thursday,Weekday,4
Date2022052,2022,5,Tuesday,Weekday,2
Date2022053,2022,5,Wednesday,Weekday,3
Date2022045,2022,4,Friday,Weekday,5
Date2022045,2022,4,Friday,Weekend,5
Date2022041,2022,4,Monday,Weekend,1
Date2022041,2022,4,Monday,Weekday,1
Date2022046,2022,4,Saturday,Weekend,6
Date2022047,2022,4,Sunday,Weekend,7
Date2022044,2022,4,Thursday,Weekday,4
Date2022042,2022,4,Tuesday,Weekday,2
Date2022043,2022,4,Wednesday,Weekday,3
Date2022035,2022,3,Friday,Weekday,5
Date2022035,2022,3,Friday,Weekend,5
Date2022031,2022,3,Monday,Weekend,1
Date2022031,2022,3,Monday,Weekday,1
Date2022036,2022,3,Saturday,Weekend,6
Date2022037,2022,3,Sunday,Weekend,7
Date2022034,2022,3,Thursday,Weekday,4
Date2022032,2022,3,Tuesday,Weekday,2
Date2022033,2022,3,Wednesday,Weekday,3
Date2022025,2022,2,Friday,Weekday,5
Date2022025,2022,2,Friday,Weekend,5
Date2022021,2022,2,Monday,Weekend,1
Date2022021,2022,2,Monday,Weekday,1
Date2022026,2022,2,Saturday,Weekend,6
Date2022027,2022,2,Sunday,Weekend,7
Date2022024,2022,2,Thursday,Weekday,4
Date2022022,2022,2,Tuesday,Weekday,2
Date2022023,2022,2,Wednesday,Weekday,3
Date2022015,2022,1,Friday,Weekday,5
Date2022015,2022,1,Friday,Weekend,5
Date2022011,2022,1,Monday,Weekend,1
Date2022011,2022,1,Monday,Weekday,1
Date2022016,2022,1,Saturday,Weekend,6
Date2022017,2022,1,Sunday,Weekend,7
Date2022014,2022,1,Thursday,Weekday,4
Date2022012,2022,1,Tuesday,Weekday,2
Date2022013,2022,1,Wednesday,Weekday,3
Date2021125,2021,12,Friday,Weekday,5
Date2021125,2021,12,Friday,Weekend,5
Date2021121,2021,12,Monday,Weekend,1
Date2021121,2021,12,Monday,Weekday,1
Date2021126,2021,12,Saturday,Weekend,6
Date2021127,2021,12,Sunday,Weekend,7
Date2021124,2021,12,Thursday,Weekday,4
Date2021122,2021,12,Tuesday,Weekday,2
Date2021123,2021,12,Wednesday,Weekday,3
Date2021115,2021,11,Friday,Weekday,5
Date2021115,2021,11,Friday,Weekend,5
Date2021111,2021,11,Monday,Weekend,1
Date2021111,2021,11,Monday,Weekday,1
Date2021116,2021,11,Saturday,Weekend,6
