Date,Number of fatal crashes,Number Fatalities,DateID
1989-05-22,5,5,Date1989051
1989-05-22,5,5,Date1989051
1989-05-23,4,4,Date1989052
1989-05-24,8,11,Date1989053
1989-05-25,7,7,Date1989054
1989-05-26,11,12,Date1989055
1989-05-26,11,12,Date1989055
1989-05-27,9,9,Date1989056
1989-05-28,8,10,Date1989057
1989-05-29,11,12,Date1989051
1989-05-29,11,12,Date1989051
1989-05-30,4,4,Date1989052
1989-05-31,5,5,Date1989053
1989-06-01,3,3,Date1989064
1989-06-02,8,8,Date1989065
1989-06-02,8,8,Date1989065
1989-06-03,9,11,Date1989066
1989-06-04,4,4,Date1989067
1989-06-05,8,9,Date1989061
1989-06-05,8,9,Date1989061
1989-06-06,5,5,Date1989062
1989-06-07,6,6,Date1989063
1989-06-08,7,7,Date1989064
1989-06-09,7,10,Date1989065
1989-06-09,7,10,Date1989065
1989-06-10,11,11,Date1989066
1989-06-11,12,15,Date1989067
1989-06-12,3,5,Date1989061
1989-06-12,3,5,Date1989061
1989-06-13,6,6,Date1989062
1989-06-14,11,11,Date1989063
1989-06-15,11,11,Date1989064
1989-06-16,7,9,Date1989065
1989-06-16,7,9,Date1989065
1989-06-17,10,13,Date1989066
1989-06-18,7,14,Date1989067
1989-06-19,5,5,Date1989061
1989-06-19,5,5,Date1989061
1989-06-20,5,7,Date1989062
1989-06-21,6,6,Date1989063
1989-06-22,10,11,Date1989064
1989-06-23,11,12,Date1989065
1989-06-23,11,12,Date1989065
1989-06-24,13,19,Date1989066
1989-06-25,7,8,Date1989067
1989-06-26,6,9,Date1989061
1989-06-26,6,9,Date1989061
1989-06-27,5,7,Date1989062
1989-06-28,2,2,Date1989063
1989-06-29,8,8,Date1989064
1989-06-30,5,5,Date1989065
1989-06-30,5,5,Date1989065
1989-07-01,8,8,Date1989076
1989-07-02,5,8,Date1989077
1989-07-03,2,2,Date1989071
1989-07-03,2,2,Date1989071
1989-07-04,9,9,Date1989072
1989-07-05,3,3,Date1989073
1989-07-06,7,7,Date1989074
1989-07-07,10,11,Date1989075
1989-07-07,10,11,Date1989075
1989-07-08,9,11,Date1989076
1989-07-09,5,6,Date1989077
1989-07-10,5,5,Date1989071
1989-07-10,5,5,Date1989071
1989-07-11,4,4,Date1989072
1989-07-12,5,6,Date1989073
1989-07-13,3,3,Date1989074
1989-07-14,12,14,Date1989075
1989-07-14,12,14,Date1989075
1989-07-15,3,5,Date1989076
1989-07-16,4,6,Date1989077
1989-07-17,5,5,Date1989071
1989-07-17,5,5,Date1989071
1989-07-18,5,5,Date1989072
1989-07-19,8,9,Date1989073
1989-07-20,6,7,Date1989074
1989-07-21,12,12,Date1989075
1989-07-21,12,12,Date1989075
1989-07-22,7,10,Date1989076
1989-07-23,9,11,Date1989077
1989-07-24,6,6,Date1989071
1989-07-24,6,6,Date1989071
1989-07-25,8,9,Date1989072
1989-07-26,7,7,Date1989073
1989-07-27,4,4,Date1989074
1989-07-28,11,11,Date1989075
1989-07-28,11,11,Date1989075
1989-07-29,4,4,Date1989076
1989-07-30,2,2,Date1989077
1989-07-31,3,4,Date1989071
1989-07-31,3,4,Date1989071
1989-08-01,8,8,Date1989082
1989-08-02,2,2,Date1989083
1989-08-03,6,6,Date1989084
1989-08-04,7,7,Date1989085
1989-08-04,7,7,Date1989085
1989-08-05,6,8,Date1989086
1989-08-06,5,5,Date1989087
1989-08-07,4,4,Date1989081
1989-08-07,4,4,Date1989081
1989-08-08,8,9,Date1989082
1989-08-09,9,10,Date1989083
1989-08-10,3,3,Date1989084
1989-08-11,12,17,Date1989085
1989-08-11,12,17,Date1989085
1989-08-12,10,10,Date1989086
1989-08-13,6,6,Date1989087
1989-08-14,4,4,Date1989081
1989-08-14,4,4,Date1989081
1989-08-15,5,6,Date1989082
1989-08-16,6,6,Date1989083
1989-08-17,5,5,Date1989084
1989-08-18,8,10,Date1989085
1989-08-18,8,10,Date1989085
1989-08-19,8,10,Date1989086
1989-08-20,11,15,Date1989087
1989-08-21,5,6,Date1989081
1989-08-21,5,6,Date1989081
1989-08-22,2,2,Date1989082
1989-08-23,1,1,Date1989083
1989-08-24,5,7,Date1989084
1989-08-25,5,9,Date1989085
1989-08-25,5,9,Date1989085
1989-08-26,11,12,Date1989086
1989-08-27,2,2,Date1989087
1989-08-28,2,2,Date1989081
1989-08-28,2,2,Date1989081
1989-08-29,5,6,Date1989082
1989-08-30,3,3,Date1989083
1989-08-31,7,10,Date1989084
1989-09-01,7,8,Date1989095
1989-09-01,7,8,Date1989095
1989-09-02,8,9,Date1989096
1989-09-03,10,10,Date1989097
1989-09-04,8,9,Date1989091
1989-09-04,8,9,Date1989091
1989-09-05,2,2,Date1989092
1989-09-06,5,5,Date1989093
1989-09-07,10,13,Date1989094
1989-09-08,12,14,Date1989095
1989-09-08,12,14,Date1989095
1989-09-09,10,10,Date1989096
1989-09-10,2,2,Date1989097
1989-09-11,7,9,Date1989091
1989-09-11,7,9,Date1989091
1989-09-12,7,9,Date1989092
1989-09-13,3,4,Date1989093
1989-09-14,8,8,Date1989094
1989-09-15,11,12,Date1989095
1989-09-15,11,12,Date1989095
1989-09-16,10,10,Date1989096
1989-09-17,15,22,Date1989097
1989-09-18,5,6,Date1989091
1989-09-18,5,6,Date1989091
1989-09-19,5,5,Date1989092
1989-09-20,12,12,Date1989093
1989-09-21,10,12,Date1989094
1989-09-22,14,15,Date1989095
1989-09-22,14,15,Date1989095
1989-09-23,8,9,Date1989096
1989-09-24,8,11,Date1989097
1989-09-25,7,8,Date1989091
1989-09-25,7,8,Date1989091
1989-09-26,3,4,Date1989092
1989-09-27,4,5,Date1989093
1989-09-28,4,4,Date1989094
1989-09-29,13,14,Date1989095
1989-09-29,13,14,Date1989095
1989-09-30,8,8,Date1989096
1989-10-01,7,9,Date1989107
1989-10-02,7,8,Date1989101
1989-10-02,7,8,Date1989101
1989-10-03,2,2,Date1989102
1989-10-04,4,6,Date1989103
1989-10-05,4,4,Date1989104
1989-10-06,7,7,Date1989105
1989-10-06,7,7,Date1989105
1989-10-07,6,6,Date1989106
1989-10-08,3,3,Date1989107
1989-10-09,2,3,Date1989101
1989-10-09,2,3,Date1989101
1989-10-10,4,4,Date1989102
1989-10-11,10,15,Date1989103
1989-10-12,5,5,Date1989104
1989-10-13,8,9,Date1989105
1989-10-13,8,9,Date1989105
1989-10-14,11,12,Date1989106
1989-10-15,7,8,Date1989107
1989-10-16,7,8,Date1989101
1989-10-16,7,8,Date1989101
1989-10-17,6,8,Date1989102
1989-10-18,2,2,Date1989103
1989-10-19,10,11,Date1989104
1989-10-20,10,29,Date1989105
1989-10-20,10,29,Date1989105
1989-10-21,10,11,Date1989106
1989-10-22,10,11,Date1989107
1989-10-23,6,7,Date1989101
1989-10-23,6,7,Date1989101
1989-10-24,3,3,Date1989102
1989-10-25,11,16,Date1989103
1989-10-26,7,7,Date1989104
1989-10-27,3,3,Date1989105
1989-10-27,3,3,Date1989105
1989-10-28,7,7,Date1989106
1989-10-29,9,11,Date1989107
1989-10-30,4,5,Date1989101
1989-10-30,4,5,Date1989101
1989-10-31,1,1,Date1989102
1989-11-01,4,4,Date1989113
1989-11-02,3,3,Date1989114
1989-11-03,4,4,Date1989115
1989-11-03,4,4,Date1989115
1989-11-04,10,10,Date1989116
1989-11-05,4,4,Date1989117
1989-11-06,8,10,Date1989111
1989-11-06,8,10,Date1989111
1989-11-07,11,12,Date1989112
1989-11-08,4,4,Date1989113
1989-11-09,3,3,Date1989114
1989-11-10,5,5,Date1989115
1989-11-10,5,5,Date1989115
1989-11-11,8,8,Date1989116
1989-11-12,8,9,Date1989117
1989-11-13,7,7,Date1989111
1989-11-13,7,7,Date1989111
1989-11-14,6,7,Date1989112
1989-11-15,6,6,Date1989113
1989-11-16,3,3,Date1989114
1989-11-17,5,5,Date1989115
1989-11-17,5,5,Date1989115
1989-11-18,6,10,Date1989116
1989-11-19,9,9,Date1989117
1989-11-20,5,6,Date1989111
1989-11-20,5,6,Date1989111
1989-11-21,3,3,Date1989112
1989-11-22,6,6,Date1989113
1989-11-23,8,10,Date1989114
1989-11-24,10,10,Date1989115
1989-11-24,10,10,Date1989115
1989-11-25,11,12,Date1989116
1989-11-26,7,11,Date1989117
1989-11-27,6,6,Date1989111
