Crash ID,DateID,LocationID,Crash Type,Number Fatalities,Speed Limit,National LGA Name 2021,TimeID,VehicleID,EventID,PeopleID
20041347,,,Single,1,Fast,,Time273,Veh1,Event2,Peop26796
20044092,,,Multiple,1,Fast,,Time191,Veh1,Event2,Peop26797
20045150,,,Multiple,1,Fast,,Time213,Veh3,Event2,Peop26798
20041360,,,Single,1,Fast,,Time129,Veh1,Event2,Peop26799
20045122,,,Multiple,1,Medium,,Time474,Veh1,Event2,Peop26800
20042013,Date2004073,,Single,1,Fast,,Time313,Veh1,Event2,Peop26801
20044106,,,Single,1,Medium,,Time134,Veh1,Event2,Peop26802
20044100,,,Single,1,Medium,,Time1271,Veh1,Event2,Peop26803
20043015,,,Multiple,1,Medium,,Time106,Veh1,Event2,Peop26804
20044109,,,Multiple,1,Fast,,Time180,Veh5,Event2,Peop26805
20043064,,,Single,1,Fast,,Time18,Veh1,Event2,Peop26806
20042076,,,Multiple,1,Medium,,Time123,Veh3,Event2,Peop26807
20041013,,,Multiple,1,Medium,,Time5,Veh8,Event2,Peop26808
20041225,,,Single,1,Medium,,Time81,Veh1,Event2,Peop26809
20043081,,,Single,1,Fast,,Time64,Veh1,Event2,Peop26811
20043278,,,Single,1,Fast,,Time64,Veh1,Event2,Peop26812
20047027,,,Single,1,,,Time64,Veh1,Event2,Peop26810
20046031,,,Multiple,2,Fast,,Time948,Veh1,Event2,"Peop26813, Peop26814"
20041134,,,Multiple,1,Medium,,Time100,Veh1,Event2,Peop26815
20042260,,,Single,1,Medium,,Time237,Veh8,Event2,Peop26816
20042173,,,Multiple,1,Medium,,Time102,Veh1,Event2,Peop26817
20045114,,,Single,2,Medium,,Time560,Veh1,Event2,"Peop26818, Peop26819"
20044004,,,Multiple,1,Medium,,Time356,Veh1,Event2,Peop26820
20045116,,,Single,1,Medium,,Time556,Veh1,Event2,Peop26821
20043143,Date2004065,,Single,1,Medium,,Time50,Veh1,Event2,Peop26822
20042015,,,Single,1,Medium,,Time118,Veh1,Event2,Peop26823
20043106,,,Single,1,Medium,,Time106,Veh1,Event2,Peop26824
20043173,,,Single,1,Fast,,Time80,Veh1,Event2,Peop26825
20041059,,,Multiple,1,Medium,,Time1344,Veh9,Event2,Peop26826
20043002,,,Single,1,Medium,,Time26,Veh1,Event2,Peop26828
20041380,,,Multiple,1,Fast,,Time26,Veh1,Event2,Peop26827
20042034,,,Single,1,Medium,,Time185,Veh1,Event2,Peop26829
20042067,,,Multiple,1,Fast,,Time115,Veh1,Event2,Peop26830
20046047,,,Single,1,Fast,,Time259,Veh1,Event2,Peop26831
20043169,,,Multiple,1,Medium,,Time64,Veh1,Event2,Peop26832
20041099,,,Single,1,Medium,,Time125,Veh1,Event2,Peop26833
20042077,Date2004065,,Single,1,Medium,,Time101,Veh1,Event2,Peop26834
20041221,,,Single,1,Medium,,Time995,Veh1,Event2,Peop26835
20045011,,,Single,1,Fast,,Time454,Veh1,Event2,Peop26836
20042220,,,Single,1,Fast,,Time85,Veh1,Event2,Peop26837
20041171,,,Single,1,Fast,,Time348,Veh3,Event2,Peop26838
20045025,,,Single,1,Medium,,Time556,Veh1,Event2,Peop26839
20041100,,,Single,1,Medium,,Time398,Veh1,Event2,Peop26840
20041363,Date2004061,,Multiple,1,Medium,,Time336,Veh1,Event2,Peop26841
20044119,,,Multiple,1,Medium,,Time169,Veh1,Event2,Peop26842
20043276,,,Multiple,1,Medium,,Time18,Veh1,Event2,Peop26843
20042115,,,Multiple,1,Medium,,Time271,Veh5,Event2,Peop26844
20047015,,,Multiple,1,Fast,,Time1344,Veh1,Event2,Peop26845
20044126,,,Single,1,Medium,,Time6,Veh3,Event2,Peop26846
20041246,,,Multiple,1,Medium,,Time82,Veh1,Event2,Peop26847
20042121,,,Multiple,1,Medium,,Time99,Veh3,Event2,Peop26848
20042172,,,Multiple,1,Fast,,Time439,Veh1,Event2,Peop26849
20042193,,,Single,1,Medium,,Time26,Veh1,Event2,Peop26850
20041299,,,Multiple,2,Fast,,Time100,Veh3,Event2,"Peop26851, Peop26852"
20046001,,,Single,1,Medium,,Time275,Veh1,Event2,Peop26853
20044009,,,Single,1,Fast,,Time290,Veh1,Event2,Peop26854
20045158,,,Single,1,Medium,,Time102,Veh1,Event2,Peop26855
20043068,,,Single,1,Medium,,Time129,Veh1,Event2,Peop26856
20045047,,,Multiple,1,Medium,,Time1341,Veh1,Event2,Peop26857
20047001,,,Single,1,,,Time13,Veh1,Event2,Peop26858
20041448,Date2004066,,Single,1,Medium,,Time492,Veh1,Event2,Peop26859
20042190,,,Single,1,Fast,,Time134,Veh1,Event2,Peop26860
20046017,,,Single,1,Fast,,Time50,Veh1,Event2,Peop26861
20041184,,,Multiple,1,Medium,,Time727,Veh3,Event2,Peop26862
20044104,,,Multiple,1,Fast,,Time433,Veh3,Event2,Peop26863
20043037,,,Single,1,Medium,,Time1,Veh1,Event2,Peop26865
20043063,,,Single,1,Medium,,Time1,Veh1,Event2,Peop26864
20041082,,,Single,1,Medium,,Time18,Veh1,Event2,Peop26866
20041366,,,Multiple,1,Medium,,Time613,Veh1,Event2,Peop26867
20043152,,,Multiple,1,Medium,,Time6,Veh1,Event2,Peop26868
20041392,,,Multiple,1,Fast,,Time23,Veh5,Event2,Peop26869
20045037,,,Multiple,1,Medium,,Time160,Veh1,Event2,Peop26870
20041173,,,Single,1,Medium,,Time76,Veh1,Event2,Peop26871
20043135,,,Single,3,Fast,,Time101,Veh1,Event2,"Peop26872, Peop26873, Peop26874"
20043134,,,Multiple,1,Fast,,Time9,Veh1,Event2,Peop26875
20041323,,,Single,1,Medium,,Time220,Veh1,Event2,Peop26876
20041079,Date2004067,,Single,1,Fast,,Time756,Veh1,Event2,Peop26877
20041020,,,Single,1,Medium,,Time134,Veh1,Event2,Peop26878
20042191,,,Single,1,Fast,,Time604,Veh1,Event2,Peop26879
20042174,,,Single,1,Medium,,Time194,Veh1,Event2,Peop26880
20044099,,,Single,1,Medium,,Time95,Veh1,Event2,Peop26881
20042175,,,Multiple,1,Fast,,Time36,Veh1,Event2,Peop26882
20045049,,,Multiple,1,Low,,Time553,Veh1,Event2,Peop26883
20041007,,,Single,1,Medium,,Time61,Veh1,Event2,Peop26884
20041157,,,Single,1,Fast,,Time331,Veh1,Event2,Peop26885
20041034,,,Single,1,Medium,,Time46,Veh1,Event2,Peop26886
20042082,,,Multiple,5,Fast,,Time160,Veh5,Event2,"Peop26887, Peop26888, Peop26889, Peop26890, Peop26891"
20045024,,,Multiple,2,Medium,,Time8,Veh1,Event2,"Peop26892, Peop26893"
20041449,,,Single,1,Medium,,Time620,Veh1,Event2,Peop26894
20043224,,,Single,1,Medium,,Time13,Veh1,Event2,Peop26895
20044093,,,Single,1,Medium,,Time398,Veh1,Event2,Peop26896
20043171,Date2004064,,Single,1,Medium,,Time50,Veh1,Event2,Peop26897
20042074,,,Single,1,Fast,,Time180,Veh3,Event2,Peop26898
20041019,,,Multiple,2,Fast,,Time552,Veh7,Event2,"Peop26899, Peop26900"
20041027,,,Multiple,1,Fast,,Time137,Veh1,Event2,Peop26901
20042049,,,Multiple,1,Fast,,Time304,Veh5,Event2,Peop26902
20044068,,,Multiple,1,Medium,,Time79,Veh1,Event2,Peop26903
20041284,,,Multiple,1,Medium,,Time18,Veh3,Event2,Peop26904
20041378,,,Single,1,Fast,,Time6,Veh1,Event2,Peop26905
20042004,,,Multiple,1,Medium,,Time724,Veh1,Event2,Peop26906
20042031,,,Single,1,Medium,,Time331,Veh1,Event2,Peop26907
20041231,,,Multiple,1,Medium,,Time354,Veh1,Event2,Peop26908
20042161,,,Single,1,Medium,,Time100,Veh1,Event2,Peop26909
20041458,,,Single,1,Medium,,Time275,Veh1,Event2,Peop26910
20043032,,,Multiple,1,Medium,,Time101,Veh1,Event2,Peop26911
20045138,,,Multiple,1,Medium,,Time129,Veh1,Event2,Peop26912
20041263,Date2004062,,Single,1,Medium,,Time107,Veh1,Event2,Peop26913
20041192,,,Single,1,Fast,,Time181,Veh3,Event2,Peop26914
20041406,,,Multiple,1,Fast,,Time305,Veh1,Event2,Peop26915
20042215,,,Single,1,Fast,,Time95,Veh1,Event2,Peop26916
20042024,,,Multiple,1,Medium,,Time60,Veh1,Event2,Peop26918
20041121,,,Single,1,Fast,,Time60,Veh1,Event2,Peop26917
20042271,,,Multiple,1,Fast,,Time511,Veh1,Event2,Peop26919
20043289,,,Multiple,1,Fast,,Time23,Veh1,Event2,Peop26920
20042103,,,Single,1,Fast,,Time61,Veh1,Event2,Peop26921
20043055,,,Multiple,1,Medium,,Time42,Veh1,Event2,Peop26922
20044013,,,Multiple,2,Fast,,Time126,Veh1,Event2,"Peop26923, Peop26924"
20045016,,,Multiple,1,Fast,,Time84,Veh1,Event2,Peop26925
20041160,,,Single,1,Fast,,Time102,Veh1,Event2,Peop26926
20041307,,,Multiple,1,Medium,,Time590,Veh1,Event2,Peop26927
20044123,,,Single,1,Fast,,Time1123,Veh1,Event2,Peop26928
20044128,,,Single,1,Medium,,Time356,Veh1,Event2,Peop26929
20041075,,,Single,1,Medium,,Time220,Veh1,Event2,Peop26930
20041056,,,Multiple,1,Medium,,Time1386,Veh1,Event2,Peop26931
20044007,Date2004063,,Single,1,Medium,,Time410,Veh1,Event2,Peop26932
20043093,,,Multiple,1,Medium,,Time106,Veh1,Event2,Peop26933
20046028,,,Multiple,1,Medium,,Time180,Veh3,Event2,Peop26934
20041040,,,Multiple,2,Medium,,Time628,Veh1,Event2,"Peop26935, Peop26936"
20041035,,,Single,1,Medium,,Time80,Veh1,Event2,Peop26937
20047018,,,Multiple,1,,,Time142,Veh3,Event2,Peop26938
20042214,,,Multiple,1,Fast,,Time62,Veh1,Event2,Peop26939
20044036,,,Multiple,1,Fast,,Time869,Veh1,Event2,Peop26940
20043252,,,Single,1,Fast,,Time101,Veh1,Event2,Peop26941
20048001,,,Multiple,1,,,Time101,Veh1,Event2,Peop26942
20044018,,,Single,1,Medium,,Time67,Veh1,Event2,Peop26943
20043050,,,Single,1,Medium,,Time311,Veh1,Event2,Peop26944
20041436,Date2004055,,Single,1,Medium,,Time1021,Veh1,Event2,Peop26945
20045064,,,Multiple,1,Fast,,Time169,Veh3,Event2,Peop26946
20041431,,,Single,1,Medium,,Time138,Veh1,Event2,Peop26947
20042129,,,Multiple,1,Medium,,Time1186,Veh1,Event2,Peop26948
20041180,,,Single,1,Medium,,Time520,Veh1,Event2,Peop26949
20045102,,,Multiple,1,Medium,,Time81,Veh3,Event2,Peop26950
20042021,,,Multiple,1,Fast,,Time553,Veh1,Event2,Peop26951
20041407,,,Single,1,Medium,,Time329,Veh5,Event2,Peop26952
20041229,,,Multiple,2,Fast,,Time61,Veh1,Event2,"Peop26953, Peop26954"
20043020,,,Single,1,Fast,,Time42,Veh1,Event2,Peop26955
20043049,,,Single,1,Fast,,Time26,Veh1,Event2,Peop26956
20041365,,,Multiple,2,Medium,,Time143,Veh1,Event2,"Peop26957, Peop26958"
20044081,,,Multiple,1,Medium,,Time8,Veh1,Event2,Peop26959
20045142,Date2004055,,Multiple,1,Fast,,Time101,Veh1,Event2,Peop26961
20042075,,,Single,1,Medium,,Time101,Veh1,Event2,Peop26960
20044006,,,Multiple,1,Medium,,Time84,Veh1,Event2,Peop26962
20044077,,,Single,1,Medium,,Time766,Veh5,Event2,Peop26963
20041190,,,Single,1,Fast,,Time191,Veh1,Event2,Peop26964
20043090,,,Single,1,Medium,,Time129,Veh1,Event2,Peop26965
20042109,,,Single,1,Fast,,Time451,Veh1,Event2,Peop26966
20042244,,,Multiple,2,Medium,,Time556,Veh1,Event2,"Peop26967, Peop26968"
20044069,Date2004051,,Multiple,1,Medium,,Time1,Veh1,Event2,Peop26969
20042047,Date2004051,,Single,1,Medium,,Time293,Veh1,Event2,Peop26970
20043065,,,Single,1,Fast,,Time270,Veh1,Event2,Peop26971
20041032,,,Single,1,Medium,,Time19,Veh1,Event2,Peop26972
20042006,,,Single,1,Fast,,Time60,Veh1,Event2,Peop26973
20042224,,,Single,1,Fast,,Time82,Veh3,Event2,Peop26974
20041430,,,Single,1,Medium,,Time1069,Veh1,Event2,Peop26975
20041328,,,Multiple,1,Fast,,Time27,Veh1,Event2,Peop26976
20042057,Date2004056,,Single,1,Medium,,Time277,Veh1,Event2,Peop26977
20042300,,,Single,1,Medium,,Time1439,Veh1,Event2,Peop26978
20041148,,,Single,1,Medium,,Time756,Veh1,Event2,Peop26979
20042085,,,Single,1,Medium,,Time50,Veh1,Event2,Peop26980
20042183,,,Single,1,Medium,,Time135,Veh1,Event2,Peop26981
20045134,,,Multiple,1,Medium,,Time721,Veh1,Event2,Peop26982
20041151,,,Multiple,1,Fast,,Time686,Veh1,Event2,Peop26983
20042131,,,Single,1,Fast,,Time510,Veh1,Event2,Peop26984
20047028,,,Single,1,,,Time55,Veh1,Event2,Peop26985
20043166,,,Single,1,Medium,,Time55,Veh1,Event2,Peop26986
20042213,,,Multiple,1,Fast,,Time577,Veh5,Event2,Peop26987
20042026,,,Multiple,1,Fast,,Time250,Veh1,Event2,Peop26988
20041146,,,Multiple,1,Medium,,Time59,Veh1,Event2,Peop26989
20041222,,,Multiple,1,Fast,,Time884,Veh1,Event2,Peop26990
20043084,,,Single,1,Fast,,Time6,Veh1,Event2,Peop26991
20043079,,,Multiple,1,Fast,,Time6,Veh1,Event2,Peop26992
20041078,,,Multiple,1,Fast,,Time511,Veh1,Event2,Peop26993
20042054,,,Multiple,1,Fast,,Time553,Veh1,Event2,Peop26994
20046023,,,Single,1,Medium,,Time42,Veh1,Event2,Peop26995
20042252,,,Multiple,1,Medium,,Time273,Veh1,Event2,Peop26996
20043073,,,Single,1,Medium,,Time26,Veh1,Event2,Peop26997
20047029,,,Single,1,Medium,,Time1336,Veh1,Event2,Peop26998
20045082,,,Multiple,1,Fast,,Time9,Veh1,Event2,Peop26999
20043043,,,Multiple,1,Medium,,Time102,Veh1,Event2,Peop27000
20042092,,,Single,1,Medium,,Time590,Veh1,Event2,Peop27001
20045085,,,Single,1,Fast,,Time295,Veh1,Event2,Peop27002
20043189,,,Multiple,1,Medium,,Time129,Veh1,Event2,Peop27003
20043215,,,Single,1,Fast,,Time311,Veh1,Event2,Peop27004
20044011,,,Single,1,Fast,,Time13,Veh1,Event2,Peop27005
