TimeID,Hour,TimeGroup
294,19.0,Evening
295,20.0,Evening
296,20.0,Evening
297,9.0,Morning
298,19.0,Evening
299,22.0,Night
300,22.0,Night
301,11.0,Morning
302,12.0,Afternoon
303,12.0,Afternoon
304,8.0,Morning
305,8.0,Morning
306,11.0,Morning
307,12.0,Afternoon
308,13.0,Afternoon
309,19.0,Evening
310,20.0,Evening
311,22.0,Night
312,23.0,Night
313,0.0,Early Morning
314,9.0,Morning
315,19.0,Evening
316,23.0,Night
317,4.0,Early Morning
318,7.0,Morning
319,9.0,Morning
320,10.0,Morning
321,19.0,Evening
322,9.0,Morning
323,11.0,Morning
324,16.0,Afternoon
325,17.0,Afternoon
326,6.0,Morning
327,8.0,Morning
328,11.0,Morning
329,14.0,Afternoon
330,14.0,Afternoon
331,15.0,Afternoon
332,18.0,Evening
333,20.0,Evening
334,1.0,Early Morning
335,4.0,Early Morning
336,6.0,Morning
337,6.0,Morning
338,13.0,Afternoon
339,17.0,Afternoon
340,22.0,Night
341,8.0,Morning
342,14.0,Afternoon
343,16.0,Afternoon
344,19.0,Evening
345,13.0,Afternoon
346,19.0,Evening
347,21.0,Night
348,22.0,Night
349,3.0,Early Morning
350,9.0,Morning
351,12.0,Afternoon
352,12.0,Afternoon
353,14.0,Afternoon
354,16.0,Afternoon
355,20.0,Evening
356,23.0,Night
357,10.0,Morning
358,17.0,Afternoon
359,18.0,Evening
360,19.0,Evening
361,5.0,Early Morning
362,7.0,Morning
363,11.0,Morning
364,0.0,Early Morning
365,3.0,Early Morning
366,11.0,Morning
367,13.0,Afternoon
368,21.0,Night
369,21.0,Night
370,18.0,Evening
371,18.0,Evening
372,3.0,Early Morning
373,9.0,Morning
374,17.0,Afternoon
375,19.0,Evening
376,16.0,Afternoon
377,5.0,Early Morning
378,16.0,Afternoon
379,19.0,Evening
380,22.0,Night
381,22.0,Night
382,7.0,Morning
383,12.0,Afternoon
384,20.0,Evening
385,6.0,Morning
386,7.0,Morning
387,11.0,Morning
388,22.0,Night
389,0.0,Early Morning
390,4.0,Early Morning
391,5.0,Early Morning
392,15.0,Afternoon
393,16.0,Afternoon
394,18.0,Evening
395,20.0,Evening
